ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,balance_promedio_norm,balance_promedio_norm_lower,balance_promedio_norm_upper,churn_rate_norm,churn_rate_norm_lower,churn_rate_norm_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,productos_activos_norm,productos_activos_norm_lower,productos_activos_norm_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-12-26,61835921.22675,-19163946.329342686,118223143.64346473,61835921.22675,61835921.22675,-10189942.82797531,-10189942.82797531,-10189942.82797531,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-20547167.936749108,-20547167.936749108,-20547167.936749108,0.0,0.0,0.0,51645978.39877469
2023-01-02,62310706.61271071,-15024692.55164449,129349128.26281467,62310706.61271071,62310706.61271071,-2464763.124259078,-2464763.124259078,-2464763.124259078,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-12821988.233032875,-12821988.233032875,-12821988.233032875,0.0,0.0,0.0,59845943.48845163
2023-01-09,62785491.99867143,-7640162.097629541,145493364.21565327,62785491.99867143,62785491.99867143,7038056.761992394,7038056.761992394,7038056.761992394,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-3319168.346781403,-3319168.346781403,-3319168.346781403,0.0,0.0,0.0,69823548.76066382
2023-01-16,63260277.38463215,8187884.746186732,153076400.45011884,63260277.38463215,63260277.38463215,15168591.655557623,15168591.655557623,15168591.655557623,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,4811366.546783828,4811366.546783828,4811366.546783828,0.0,0.0,0.0,78428869.04018977
2023-01-23,63735062.7891131,8955457.315071259,157056771.1796344,63735062.7891131,63735062.7891131,18443956.64908379,18443956.64908379,18443956.64908379,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,8086731.540309994,8086731.540309994,8086731.540309994,0.0,0.0,0.0,82179019.43819688
2023-01-30,64209848.193594046,7400544.886285519,157087308.9630513,64209848.193594046,64209848.193594046,15780327.216087328,15780327.216087328,15780327.216087328,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,5423102.107313532,5423102.107313532,5423102.107313532,0.0,0.0,0.0,79990175.40968138
2023-02-06,64684633.59807498,1367381.9337143246,150840864.81017306,64684633.59807498,64684633.59807498,11396905.895782849,11396905.895782849,11396905.895782849,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,1039680.7870090528,1039680.7870090528,1039680.7870090528,0.0,0.0,0.0,76081539.49385783
2023-02-13,65159419.00255593,6408095.253415795,152659968.15356705,65159419.00255593,65159419.00255593,13865012.368354226,13865012.368354226,13865012.368354226,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,3507787.25958043,3507787.25958043,3507787.25958043,0.0,0.0,0.0,79024431.37091015
2023-02-20,65634204.44933916,24405894.77377484,164887055.0197323,65634204.44933916,65634204.44933916,29819438.584655963,29819438.584655963,29819438.584655963,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,19462213.475882165,19462213.475882165,19462213.475882165,0.0,0.0,0.0,95453643.03399512
2023-02-27,66108989.89612239,50498674.43326597,194576444.0660774,66108989.89612239,66108989.89612239,56559722.23854728,56559722.23854728,56559722.23854728,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,46202497.129773475,46202497.129773475,46202497.129773475,0.0,0.0,0.0,122668712.13466966
